neurons,activation,batch_size,optimizer,recall,accuracy
16,relu,8,SGD,0.0,0.9992104669524025
16,relu,16,SGD,0.0,0.9992104669524025
16,relu,32,SGD,0.0,0.9992104669524025
16,relu,8,Adam,0.5714285714285714,0.9995488382585157
16,relu,16,Adam,0.42857142857142855,0.9994360478231445
16,relu,32,Adam,0.42857142857142855,0.9994360478231445
16,relu,8,RMSprop,0.0,0.9992104669524025
16,relu,16,RMSprop,0.0,0.9992104669524025
16,relu,32,RMSprop,0.0,0.9992104669524025
16,relu,8,Adadelta,0.2857142857142857,0.42172343785247013
16,relu,16,Adadelta,0.0,0.6577938190841417
16,relu,32,Adadelta,0.5714285714285714,0.5649672907737424
16,sigmoid,8,SGD,0.0,0.9992104669524025
16,sigmoid,16,SGD,0.0,0.9992104669524025
16,sigmoid,32,SGD,0.0,0.9992104669524025
16,sigmoid,8,Adam,0.42857142857142855,0.9994360478231445
16,sigmoid,16,Adam,0.0,0.9992104669524025
16,sigmoid,32,Adam,0.0,0.9992104669524025
16,sigmoid,8,RMSprop,0.0,0.9992104669524025
16,sigmoid,16,RMSprop,0.0,0.9992104669524025
16,sigmoid,32,RMSprop,0.0,0.9992104669524025
16,sigmoid,8,Adadelta,0.0,0.9992104669524025
16,sigmoid,16,Adadelta,0.2857142857142857,0.9449582675389127
16,sigmoid,32,Adadelta,1.0,0.3128806677193774
16,tanh,8,SGD,0.0,0.9992104669524025
16,tanh,16,SGD,0.0,0.9992104669524025
16,tanh,32,SGD,0.0,0.9992104669524025
16,tanh,8,Adam,0.42857142857142855,0.9994360478231445
16,tanh,16,Adam,0.42857142857142855,0.9994360478231445
16,tanh,32,Adam,0.42857142857142855,0.9994360478231445
16,tanh,8,RMSprop,0.0,0.9992104669524025
16,tanh,16,RMSprop,0.0,0.9992104669524025
16,tanh,32,RMSprop,0.2857142857142857,0.9993232573877735
16,tanh,8,Adadelta,0.5714285714285714,0.6354613128806678
16,tanh,16,Adadelta,0.14285714285714285,0.5897811865553801
16,tanh,32,Adadelta,0.7142857142857143,0.6307241145950824
32,relu,8,SGD,0.0,0.9992104669524025
32,relu,16,SGD,0.0,0.9992104669524025
32,relu,32,SGD,0.0,0.9992104669524025
32,relu,8,Adam,0.7142857142857143,0.9996616286938868
32,relu,16,Adam,0.5714285714285714,0.9995488382585157
32,relu,32,Adam,0.5714285714285714,0.9995488382585157
32,relu,8,RMSprop,0.0,0.9992104669524025
32,relu,16,RMSprop,0.0,0.9992104669524025
32,relu,32,RMSprop,0.0,0.9992104669524025
32,relu,8,Adadelta,0.2857142857142857,0.543424317617866
32,relu,16,Adadelta,1.0,0.17606586961425671
32,relu,32,Adadelta,0.14285714285714285,0.6300473719828559
32,sigmoid,8,SGD,0.0,0.9992104669524025
32,sigmoid,16,SGD,0.0,0.9992104669524025
32,sigmoid,32,SGD,0.0,0.9992104669524025
32,sigmoid,8,Adam,0.42857142857142855,0.9994360478231445
32,sigmoid,16,Adam,0.42857142857142855,0.9994360478231445
32,sigmoid,32,Adam,0.42857142857142855,0.9994360478231445
32,sigmoid,8,RMSprop,0.0,0.9992104669524025
32,sigmoid,16,RMSprop,0.0,0.9992104669524025
32,sigmoid,32,RMSprop,0.0,0.9992104669524025
32,sigmoid,8,Adadelta,0.0,0.9989848860816603
32,sigmoid,16,Adadelta,0.0,0.9980825625986917
32,sigmoid,32,Adadelta,0.0,0.9990976765170314
32,tanh,8,SGD,0.0,0.9992104669524025
32,tanh,16,SGD,0.0,0.9992104669524025
32,tanh,32,SGD,0.0,0.9992104669524025
32,tanh,8,Adam,0.42857142857142855,0.9994360478231445
32,tanh,16,Adam,0.42857142857142855,0.9994360478231445
32,tanh,32,Adam,0.5714285714285714,0.9995488382585157
32,tanh,8,RMSprop,0.0,0.9992104669524025
32,tanh,16,RMSprop,0.0,0.9992104669524025
32,tanh,32,RMSprop,0.2857142857142857,0.9993232573877735
32,tanh,8,Adadelta,0.7142857142857143,0.850214301827205
32,tanh,16,Adadelta,0.0,0.6590345138732235
32,tanh,32,Adadelta,0.8571428571428571,0.7118204376268893
64,relu,8,SGD,0.0,0.9992104669524025
64,relu,16,SGD,0.0,0.9992104669524025
64,relu,32,SGD,0.0,0.9992104669524025
64,relu,8,Adam,0.7142857142857143,0.9996616286938868
64,relu,16,Adam,0.7142857142857143,0.9996616286938868
64,relu,32,Adam,0.42857142857142855,0.9994360478231445
64,relu,8,RMSprop,0.0,0.9992104669524025
64,relu,16,RMSprop,0.0,0.9992104669524025
64,relu,32,RMSprop,0.0,0.9992104669524025
64,relu,8,Adadelta,0.42857142857142855,0.8952176855402662
64,relu,16,Adadelta,0.8571428571428571,0.48060004511617416
64,relu,32,Adadelta,0.42857142857142855,0.5213173922851342
64,sigmoid,8,SGD,0.0,0.9992104669524025
64,sigmoid,16,SGD,0.0,0.9992104669524025
64,sigmoid,32,SGD,0.0,0.9992104669524025
64,sigmoid,8,Adam,0.5714285714285714,0.9995488382585157
64,sigmoid,16,Adam,0.42857142857142855,0.9994360478231445
64,sigmoid,32,Adam,0.42857142857142855,0.9994360478231445
64,sigmoid,8,RMSprop,0.0,0.9992104669524025
64,sigmoid,16,RMSprop,0.0,0.9992104669524025
64,sigmoid,32,RMSprop,0.0,0.9992104669524025
64,sigmoid,8,Adadelta,0.0,0.9992104669524025
64,sigmoid,16,Adadelta,0.0,0.9992104669524025
64,sigmoid,32,Adadelta,0.0,0.998646514775547
64,tanh,8,SGD,0.0,0.9992104669524025
64,tanh,16,SGD,0.0,0.9992104669524025
64,tanh,32,SGD,0.0,0.9990976765170314
64,tanh,8,Adam,0.42857142857142855,0.9994360478231445
64,tanh,16,Adam,0.42857142857142855,0.9994360478231445
64,tanh,32,Adam,0.5714285714285714,0.9995488382585157
64,tanh,8,RMSprop,0.0,0.9992104669524025
64,tanh,16,RMSprop,0.0,0.9992104669524025
64,tanh,32,RMSprop,0.2857142857142857,0.9993232573877735
64,tanh,8,Adadelta,0.7142857142857143,0.8984886081660275
64,tanh,16,Adadelta,0.7142857142857143,0.37672005413940896
64,tanh,32,Adadelta,0.14285714285714285,0.46920821114369504
